标题,主题,内容
关于推迟2020年4月陕西省高等教育自学考试报名时间的通知.txt,"[{'考试': 1.0}, {'陕西省': 0.6603681857542476}, {'自学': 0.6210268864821763}, {'防控': 0.5357035063504467}, {'疫情': 0.5326969713523996}]","  当前位置：首页>>
						通知公告
按照国家和我省关于做好新冠肺炎疫情防控的工作部署,切实保障广大考生的生命安全和身体健康,根据教育部日前发布的《关于2020年4月全国高等教育自学考试延期举行的公告》,原定于3月5日至11日进行的陕西省自学考试报名相应推迟进行,具体时间将根据疫情防控进展情况,依据教育部安排另行通知。
请广大考生密切关注陕西省教育考试院门户网站(www.sneea.cn)、陕西招生考试信息网（www.sneac.com）和“陕西考试招生”微信公众号及新浪微博等媒介，我们将会在以上平台及时发布后续信息，感谢广大考生对有关工作调整的理解与支持。
陕西省教育考试院
2020年2月28日
					上一篇：
					  无
					下一篇：
					  陕西省教育考试院关于调整高等教育自学考试学前教育（专升本）专业部分省考课程使用教材的通知
"
关于推迟辽宁省2020年4月全国高等教育自学考试的通知.txt,"[{'考试': 1.0}, {'辽宁省': 0.46004251631340143}, {'招生': 0.36325211443616134}, {'自学': 0.3009321002430423}, {'考生': 0.28618528382859587}]","根据教育部《关于2020年4月全国高等教育自学考试延期举行的公告》要求，结合辽宁省疫情防控实际情况，为确保广大考试工作人员和考生的生命安全和身体健康，原定于2020年4月11至12日举行的2020年4月全国高等教育自学考试推迟举行。具体考试时间将根据疫情防控进展情况另行通知，本次考试报名继续进行（老考生：2月25至29日；新考生：3月2至8日）。请考生及时关注辽宁省高等教育自学考试网上服务平台、辽宁招生考试之窗网站和辽宁省教育招生考试微信公众号发布的有关信息。
感谢各位考生的理解与支持。
辽宁省高中等教育招生考试委员会办公室                  
 2020年2月28日                                    
"
2020年上半年辽宁省高等教育自学考试学历审查和课程免考须知.txt,"[{'免考': 1.0}, {'考试': 0.8483546719259115}, {'时间': 0.5641430374183699}, {'考生': 0.4652561911544131}, {'自学': 0.4219272770480401}]","2020年上半年辽宁省高等教育自学考试学历审查和课程免考工作继续实行网上办理，现将有关具体事项告知如下：
一、登录方式
（一）考生应使用IE8及以上版本浏览器登陆辽宁高等教育自学考试网上服务平台（以下简称：“自学考试网上服务平台”）。
（二）考生登陆自学考试网上服务平台有两种方式：一是在地址栏中直接输入网址：http://zk.lnzsks.com/lnzk.wb登陆，二是通过“辽宁招生考试之窗”网站（www.lnzsks.com），登陆“自学考试网上服务平台”。
二、免考流程
（一）网上注册：未进行网上注册的老考生须在规定时间登陆自学考试网上服务平台进行网上注册。
（二）提交申请：考生完成注册后，在规定时间内登陆自学考试网上服务平台进入“免考申请”， 选择专业及所要免考课程，填写免考所依据的材料信息，同时上传每项材料对应的照片，检查确认无误后保存提交。上传材料照片作为存档备查材料，要求真实，文字内容清晰，文件类型为JPG或JPEG格式，文件不得小于10K、不得大于1M。如不上传材料照片或上传材料照片不全，考生将无法继续完成申请。
根据《国家教育考试违规处理办法》（2004年5月19日中华人民共和国教育部令第18号发布，根据2012年1月5日《教育部关于修改〈国家教育考试违规处理办法〉的决定》修正）规定，“通过伪造证件、证明、档案及其他材料获得考试成绩的，应当认定相关的考生实施了考试作弊行为，当次考试各科成绩无效”。考生提供虚假材料，将按照作弊行为处理。
（三）现场确认：考生须携带本人身份证及作为免考依据的相关材料原件，在规定时间内到各市、区招生考试机构完成现场确认。各市、区招生考试机构接收并核对考生提供的材料，通过网上服务平台提交现场确认结果。
（四）网上支付：现场确认通过的考生登陆自学考试网上服务平台完成缴费。缴费支付方式为个人支付。考生应在规定时间内完成网上支付免考审定费，如未能按时支付，视为放弃本次免考申请。
（五）各市初审：各市、区招生考试机构在规定时间内，根据《辽宁省高等教育自学考试学历认定和课程免考实施细则》（辽招考委字[2009]21号）的有关规定，对考生的免考申请进行审核，对考生提交的免考材料（包括毕业证书和相关等级证书）要通过教育部网站进行核查，确保考生提交的免考材料的真实性。对未查到的要明确标注，待最终审核时，进一步核查。
（六）最终审核：在规定时间内，省招考办组成审核组根据考生的课程免考申请、各市初审结果以及提交的材料对考生的免考申请进行审核。
（七）结果反馈：考生在规定时间内自行通过网上服务平台查询审核结果、打印课程免考通知书。
三、办理时间
以下公布的时间为辽宁省招考办服务器开通时间，在各个时间段内服务器开通时间为每天9时至22时。各市、区招生考试机构具体工作时间安排以自学考试网上服务平台公布为准，逾期不予办理。
（一）考生网上注册、申请免考时间：2020年2月 13日至 2月24日。
（二）现场确认及报送免考材料时间：2020年2月25日至3月3日。
（三）考生网上支付时间：2020年2月25至3月4 日。
（四）各市初审工作时间：2020年 2月25日至3月13日。
（五）全省复审工作时间：2020年3月16日至3月25日。
（六）审核结果反馈时间：2020年3月26日至4月12日。
四、收费依据及标准
（一）收费依据：
1.《关于发布全省教育收费项目和收费标准的通知》（辽财综 【2003】478号）
2. 《关于我省招生考试收费标准及有关问题的复函》（辽价函【2016】36号）
（二）收费标准：免考审定费为30元/生。
五、免考规定
根据《辽宁省高等教育自学考试学历认定和课程免考实施细则》（辽招考委字[2009]21号）的有关规定，就课程免考有关问题规定如下：
（一）报考高等教育自学考试专科专业的，按不同报考对象有如下规定：
1.各类高等教育本科以上(含本科)毕业生和高等教育自学考试专科毕业生可免试已学过的课程名称和要求相同的课程。
2.各类高等学校的专科毕业生可免试已学过的课程名称和要求相同的公共基础课。
3.普通中等专业学校毕业生可免试已学过的课程名称和要求相同的公共政治课。
4.普通高等学校的本科肄业生、退学生可免试已取得合格成绩的课程名称和要求相同的课程。
（二）报考高等教育自学考试专升本专业的，按不同报考对象有如下规定：
1.各类高等教育本科以上(含本科)毕业生可免试已学过的课程名称和要求相同的课程。
2.普通高等学校的本科结业生可免试已取得合格成绩的课程名称和要求相同的公共基础课。
3.各类高等教育专科以上(含专科)毕业生可免试已学过的课程名称和要求相同的公共政治课。
4.高等教育自学考试专科以上(含专科)毕业生可免试已学过的课程名称和要求相同的课程。
5.国外留学的学历证书必须经国家省级教育行政部门认证后，可按照相关规定报考和免试已取得合格成绩的课程名称和要求相同的公共基础课。
（三）各类高等教育专业专科以上(含专科)毕业生获得国家承认的有关等级证书者报考高等教育自学考试可免考：
1.中国语言文学类、新闻、文秘及相近专业毕业生可免考大学语文。
2.外国语言文学类毕业生可免考公共外语。
3.经济学类毕业生可免考政治经济学(财)。
4.凡各类高等教育专科以上(含专科)毕业生报考自学考试专科以上(含专科)者，可免考与毕业专业名称相同的课程。
5.获全国计算机等级考试(NCRE)一级以上(含一级)证书者，可免考非计算机类专业计算机应用基础、计算机应用技术(含理论和实践)。
6.获全国计算机等级考试(NCRE)二级C语言设计证书(笔试和上机)，可免考《高级语言程序设计》(含理论、实践)。
7.获全国计算机等级考试(NCRE)三级PC技术证书(笔试与上机)，可免考《微型计算机及其接口技术》、《微型计算机原理及应用》(含理论和实践)。
8. 获全国计算机等级考试(NCRE)二级以上(含二级)证书者，可免考管理系统中计算机应用(含理论和实践)。
9. 获NIT《管理系统中信息技术的应用》模块证书者可免考管理系统中计算机应用(含理论和实践)，获NIT《计算机应用基础》模块证书者可免考计算机应用基础(含理论和实践)。
10. 获全国高校计算机二级证书者可免考管理系统中计算机应用(含理论及实践)，办理免考时需同时持与之相应的毕业证书，学校名称一致，且计算机证书发证时间与毕业证书发证时间相符。
11.获全国英语等级考试(PETS)三级以上(含三级)合格证书者可免考英语(二)。
12.获全国英语等级考试(PETS)二级以上(含二级)合格证书者可免考英语(一)。
13.获辽宁省大学英语考试三级证书者，可免考英语(二)，办理免考时需同时持与之相应的毕业证书，学校名称一致，且英语证书发证时间与毕业证书发证时间相符。
14.获辽宁省大学英语考试二级以上证书者，可免考英语(一)，办理免考时需同时持与之相应的毕业证书，学校名称一致，且英语证书发证时间与毕业证书发证时间相符。
15. 获全国大学英语四级证书者，可免考英语(二)，2005年以后，大学英语等级考试成绩高于425分(含425分)者，可免考英语(二)。办理免考时需同时持与之相应的毕业证书，学校名称一致，且英语成绩发布时间与毕业证书发证时间相符。
16. 获高等学校英语应用能力考试A级证书者，可免考英语(二)，办理免考时需同时持与之相应的毕业证书，学校名称一致，且英语证书发证时间与毕业证书发证时间相符。
17. 获高等学校英语应用能力考试B级以上证书，可免考英语(一)，办理免考时需同时持与之相应的毕业证书，学校名称一致，且英语证书发证时间与毕业证书发证时间相符。
18.获全国外语水平考试(日语)(WSK)合格等级证书及翻译资格证书考试(日语)、日本语能力测试(JPT)二级以上（含二级）可免考日语(二)。
（四）专业考试计划中有特殊免考规定的，按专业考试计划规定办理。
（五）下列情况不能申请课程免考：
 1.各类高等学校的专科肆业生、专科退学生不在免考之列。
 2.各类高等学校考查课不在免考之列。
六、考生注意事项
（一） 考生登陆自学考试网上服务平台提交课程免考申请后，应在规定时间内到各市、区招生考试机构完成现场确认，如未能在规定时间内完成现场确认，视为放弃本次课程免考。
（二）考生完成现场确认后，应在规定时间内完成网上支付课程免考审定费，如未能按时支付，视为放弃本次课程免考。
（三）专业考试计划中有特殊免考规定的，按专业考试计划规定办理。因自学考试专业调整，已报考面向我省普通高校本科生设有“第二学历”专业计划的老考生，按照各专业计划规定可免考相应课程。2018年下半年起，“第二学历”专业计划停止接纳新生报考，不再按照“第二学历”专业计划给新生办理课程免考。
（四）考生提交真实有效的《全国英语等级考试成绩通知单》（60分以上）可以作为自学考试免考英语（一）或英语（二）的依据。
附表：2020年上半年自学考试学历审查和课程免考现场确认时间安排表
"
我省对2020年上半年高等教育自学考试学历审查和课程免考工作进行调整.txt,"[{'工作': 1.0}, {'防控': 0.808998871173579}, {'疫情': 0.7242654923307884}, {'课程': 0.5696799770767399}, {'学历': 0.5238001754350738}]","为了做好新型冠状病毒感染的肺炎疫情防控工作，对原定于2月13日开始的2020年上半年辽宁省高等教育自学考试学历审查和课程免考工作进行调整。具体时间安排根据疫情防控工作的开展情况另行通知，望广大考生周知。
2020年2月6日
"
我省对2020年上半年高等教育自学考试报名工作进行部分调整.txt,"[{'考试': 1.0}, {'考生': 0.9326403896808686}, {'报名': 0.6006998176828394}, {'工作': 0.5550383189888565}, {'自学': 0.5081487211911546}]","为确保广大考试工作人员和考生的生命安全和身体健康，切实做好疫情防控，根据新型冠状病毒感染的肺炎疫情防控工作有关精神，经研究决定，现将我省2020年上半年自学考试报名工作调整情况公告如下：    
1.2020年上半年辽宁省高等教育自学考试报名工作将如期进行（2月25日至3月8日）。
2.此次理论课报名取消新考生现场确认环节，考生不需到现场办理，采取网上确认的方式进行，考生需于注册后的次日登录服务平台完成报课。
3.由于当日须完成数椐校验整理工作，每日报名时间调整为9时至17时。     
4.此次实践课报名将如期进行（3月1日至8日），取消主考院校现场确认环节，具体考核时间安排，请考生密切关注各主考院校继续教育学院官网公告或主动联系相关主考院校，及时获取考核安排的调整信息，确保顺利参加考核。   
5.原定4月11日至12日举行的全国高等教育自学考试时间是否延期，以教育部考试中心发布的公告为准。      
在疫情防控期间，请考生及时关注辽宁省高等教育自学考试网上服务平台、辽宁招生考试之窗网站和辽宁省教育招生考试微信公众号发布的有关信息。考生如需咨询，可致电咨询服务电话:024-86157010。     
感谢各位考生的理解和支持！ 
辽宁省高中等教育招生考试委员会办公室                                                                                                                                                                                                            2020年2月24日
"
我省延期开展2020年上半年高等教育自学考试省际转考工作.txt,"[{'考试': 1.0}, {'工作': 0.5984550557656898}, {'防控': 0.4921606861917238}, {'招生': 0.4720091057857723}, {'转考': 0.45552380973807655}]","根据新型冠状病毒感染的肺炎疫情防控工作有关精神和教育部考试中心关于延期开展2020年上半年高等教育自学考试转考相关工作的文件要求，为确保广大考试工作人员和考生的生命安全和身体健康，切实做好疫情防控，经研究决定，延期开展我省2020年上半年自学考试省际转考相关工作，恢复办理省际转考的时间将根据疫情防控进展情况另行通知。请考生及时关注辽宁省高等教育自学考试网上服务平台、辽宁招生考试之窗网站和辽宁省教育招生考试微信公众号发布的有关信息。
感谢各位考生的理解和支持。
               辽宁省高中等教育招生考试委员会办公室
 2020年2月19日
"
辽宁省高等教育自学考试申请转出考生网上确认操作说明.txt,"[{'考生': 1.0}, {'确认': 0.6862010152611786}, {'进行': 0.5699169490833688}, {'照片': 0.4260343678443148}, {'身份证': 0.4010512859185921}]","辽宁省高等教育自学考试申请转出考生网上确认操作说明
考生网上申请转出后各级招办对考生的转考信息进行审核，考生需要在平台公布的网上确认开放时间内登陆平台进行转考网上确认。
考生进行网上确认需提前准备身份证“身份证头像面照片”(支持二代身份证，一代身份证请到转出地招考机构进行确认)和“考生本人近期免冠照片”，用于考生身份验证。照片大小不得大于1M，照片类型为JPG格式。考生每日可进行5次身份验证，超过次数的考生请隔日重新进行身份验证。
具体操作步骤：
1.     考生通过准考证号和姓名登陆系统。查看转考申请的审批状态，当审批状态为“已通过请进行网上确认”时可进行网上确认。
2.     考生需要点击登陆后页面上的“网上确认”按钮进入网上确认页面进行网上确认。
3.考生点击“身份证照片”上传考生身份证图片，系统会对考生上传的身份证照片进行考生身份验证，验证通过的直接跳“第五步”完成考生网上确认。验证不通过的直接跳“第四步”上传考生近期免冠头像再次验证。
4.比对不通过的会自动跳转到上传人像界面，考生上传近期免冠照片后，系统会将身份证照片和上传的近期免冠照片进行再次比对。
5．比对通过后提示考生网上确认完成。
6.比对不通过的提示考生重新进行上传比对或到现场进行人工确认。（验证失败，请核实您上传的身份信息和头像信息准确清晰，如多次验证不通过请在网上确认开放期间到当前准考证所属招考机构进行现场确认！）
7.考生网上确认完毕后再次登陆将提示考生已经完成确认。
"
2020年4月（20.1次）四川省高等教育自学考试通告（一）.txt,"[{'考生': 1.0}, {'报考': 0.6519441838877255}, {'课程': 0.6064374435219497}, {'考试': 0.561969209390512}, {'注册': 0.43653118486769577}]","现将我省2020年4月（20.1次）高等教育自学考试新生注册和课程报考事宜通告如下。
一、新生注册
考生端地址为https://zk.sceea.cn/（使用谷歌浏览器或火狐浏览器）。本次注册新生使用身份证号码为账号，新生密码以自己本次设置为准；所有在籍考生（不含本次注册新生）登陆密码全部重置为身份证号码最后6位。（例：身份证号码：510*********121234，账号则为：510*********121234，初始密码为：121234。）
报名注册参加自学考试的新生，需自行在四川省自学考试考生端https://zk.sceea.cn/上填报本人正确基本信息及上传本人着正装免冠浅蓝底标准证件照片 （照片要求见附件），基本信息缺失或照片未上传将不能完成注册。
报名注册成功的考生可进行本次考试课程报考及缴费。 
港、澳、台考生及外国籍考生参加我省自学考试的报名注册时，其中网报系统“证件类型”栏选择对应的证件类型，并准确填写证件号码。 
新生报名注册注意事项：
一是新考生报名注册时应认真填写各项基本信息。其基本信息将作为高等教育自学考试参考的唯一依据，信息有误的考生将不能参加自学考试。
二是新考生报名注册时所上传浅蓝底标准证件照片（.jpg格式，见附件），将作为考生准考证及毕业证使用照片，一经确认，不得更改。请考生严格按要求上传本人照片。
三是报名注册后，凡未报考考试课程或未缴费的新考生，其注册的准考证号在网报结束后，将视为无效准考证号自动删除。考生以后参加高等教育自学考试需重新报名注册。
二、课程报考
考生应在规定时间内，在网上进行2020年4月自学考试课程报考。考生只能在报考系统中公布的我省行政区划同一个县（市、区）内进行课程报考和参加考试，同一个身份证号码不得同时在其它县（市、区）和其它省（自治区）报考。
2020年4月自学考试各专业考试课程及时间安排详见四川省教育考试院官方网站（网址：www.sceea.cn）。
三、报名注册及课程报考时间安排
2020年2月24日9:00—26日18：00前，新生报名注册（新考生在网上填报提交本人相关信息）。
3月2日9:00—5日18:00前，社会考生网上课程报考。
3月3日9:00—6日18:00前，应用型专业考生网上课程报考。 
四、报考课程缴费
报考课程缴费需考生自行在网上完成，收费标准为35元/科。考生须开通银行卡的网上银行功能，使用网报系统链接的网上银行缴纳考试费。报考课程成功的最终依据是完成报考课程缴费，并记录好“缴费”成功界面ZP开头的32位订单号。请考生尽量提前安排完成课程报考和缴费，避免在最后一天，因网络拥堵等原因错过课程报考和缴费。
网上课程报考期间，技术支持电话：028-85176802。
五、其他事项
（一）在籍自考生身份证号码有误无法登录考生端的（包括以前未提供身份证号码和提供身份证号码无法通过验证的），考生可发送个人申请、身份证正反面（扫描、拍照均可）等电子材料到所属县（市、区）招生考试机构或有关院校自考办的指定邮箱（具体邮箱见各单位公告），由报名县（市、区）、市（州）、助学点或学校审核考生电子材料后并补录正确身份证号码，生成账号之后按正常情况登录。
（二）在籍自考生未采集照片无法报考的，考生可发送个人申请和身份证正反面（扫描、拍照均可）、合格照片的电子材料到所属县（市、区）招生考试机构或有关院校自考办的指定邮箱（具体邮箱见各单位公告），由注册地县（市、区）招生考试机构或有关院校自考办审核电子材料后补传照片,考生即可根据该身份证件号正常登录系统报考。
（三）港、澳、台及外国籍考生必须凭准考证、有效身份证件参加考试。
（四）考生应诚信报考，若当次考试无故缺考2门课程或以上的，将纳入考生诚信档案，影响下次课程报考。
后续座位号查询、准考证打印等事项将于3月中旬另文通告。原定于4月11日至12日举行的自学考试是否推迟，将按照疫情防控进展情况，根据国家有关部门的安排另行通知。
附件：
四川省高等教育自学考试报名照片要求
四川省教育考试院
2020年2月19日
附件
四川省高等教育自学考试报名照片要求
    一、背景要求：背景布选取浅蓝色，要求垂感和吸光好，可以是棉布，毛涤等。
    二、成像要求：正面免冠彩色头像，衣着正装，不着制式服装。成像区上下要求头上部空1/10，头部占7/10，肩部占1/5，左右各空1/10。采集的图象像素为480×360（高×宽），图像大小30KB以内。
        三、文件格式要求：要求存储为jpg格式。
    特别提示：考生报名上传照片将作为考生准考证及毕业证使用照片，一经确认，不得更改。
"
关于推迟2020年4月四川省高等教育自学考试时间和网上课程报考的通告.txt,"[{'考试': 1.0}, {'考生': 0.9779790516315198}, {'自学': 0.8881910365269889}, {'防控': 0.7125654208109388}, {'疫情': 0.7086563288391476}]","按照国家和我省关于做好新冠肺炎疫情防控的工作部署，切实保障广大考生的生命安全和身体健康，根据教育部《关于2020年4月全国高等教育自学考试延期举行的公告》要求，现将我省2020年4月高等教育自学考试有关事项通告如下。
原定于4月11日至12日举行的自学考试推迟举行，原定于3月2日至6日进行的自学考试考生网上课程报考相应推迟进行，具体时间将根据疫情防控进展情况，依照教育部安排另行通知。
请广大考生密切关注我院官方网站www.sceea.cn以及微信公众号“四川省教育考试院”发布的后续信息，感谢广大考生对有关工作调整安排的理解和支持！
                         四川省教育考试院
                         2020年2月27日
"
关于开展2020年上半年自学考试课程免试、更改考籍工作的通告.txt,"[{'考试': 1.0}, {'课程': 0.8396793956375461}, {'免试': 0.763167156253408}, {'自学': 0.6893016124819025}, {'申请': 0.5923088460508075}]","现将我省2020年上半年高等教育自学考试课程免试、更改考籍事宜通告如下。原定于2月24日至3月20日期间进行的省际转考按教育部考试中心2月18日发的《关于延期开展2020年上半年自考转考工作的公告》要求延期开展，恢复办理的时间另文通告。 
一、申请时间 
更改考籍：2020年3月16日至3月18日线上申请、提交材料，无须缴纳费用； 
课程免试：2020年3月16日至3月20日线上申请（其中2016年以前已在转出省办理省际转出的考生，选择证件类型为“外省自考准考证”办理课程免试）、缴费及提交材料； 
考生在规定时间内，完成在高等教育自学考试管理信息系统（网址：https://zk.sceea.cn，以下简称管理系统）中线上申请、缴费（仅课程免试），以及提交拍照或扫描的电子版申请材料至所属申请机构公布的邮箱（详见各市州和院校相关公告），电子材料和文件包均命名为“准考证号+姓名+申请类型（课程免试/更改考籍/更换专业/更换照片）”，同时申请多项业务须将材料分类整理提交，逾期将不予受理。未完成线上申请、缴费（仅课程免试）或提交材料任意一项均视为无效申请。 
我们因为疫情防控需要对办理方式进行了临时调整，对不影响正常毕业的考生建议可下半年申请办理相关事项。 
二、申请机构 
报名注册地招生考试机构（面向社会自考生） 
院校自考办（面向院校自考生） 
三、规定和要求 
（一）更改考籍 
 更改考籍是指考生个人信息有误或经公安机关合法变更的个人信息进行更正，个人信息包括姓名、性别、民族、身份证号等。电子照片一经采集，原则上不予更改。 
更改考籍需提交的电子材料： 
1.更改身份证号 
（1）注册时信息录入错误：《四川省高等教育自学考试更改考籍申请表》（附件1）、报名注册地招生考试机构或院校自考办书面情况说明、有效居民身份证。 
（2）公安机关合法变更：《四川省高等教育自学考试更改考籍申请表》（附件1）、公安户籍管理部门出具的身份证号更正证明原件、有效居民身份证。 
2.更改姓名 
（1）注册时信息录入错误：《四川省高等教育自学考试更改考籍申请表》（附件1）、报名注册地招生考试机构或院校自考办书面情况说明、有效居民身份证。 
（2）公安机关合法变更：《四川省高等教育自学考试更改考籍申请表》（附件1）、含现用名和曾用名的户口簿单页或公安户籍管理部门出具的户籍证明原件、有效居民身份证。 
 若户口簿上无曾用名，需提交公安户籍管理部门出具的姓名变更证明原件。 
3.更改性别或民族 
《四川省高等教育自学考试更改考籍申请表》（附件1）、有效居民身份证。 
4.更换照片（仅限因照片问题未通过毕业审核的情况） 
 更换照片无需线上申请，须在更改考籍申请时间内，提交有效居民身份证，正装免冠浅蓝底标准证件电子版照片（文件名：准考证号+姓名.jpg）。 
5.更换专业 
更换专业无需线上申请，面向院校自考生若申请更换拟报专业，须本人填写《四川省高等教育自学考试（面向院校）更改专业编码申请表》（附件2），在更改考籍申请时间内联系主考院校提交材料，经同意后再进行更改。 
面向社会本科自考生的报考专业若非拟毕业专业，可在毕业论文报考时间（另文通知），在管理系统中自行进行更换。已取得毕业论文合格成绩的专业不得变更。 
（二）课程免试 
课程免试是指考生将本人已通过考试合格的课程成绩，按照自学考试的有关规定，免试需要考试的自学考试相关专业课程。 
课程替代是课程免试业务的分支，若免试后的课程已停考或调整，考生需在管理系统中，按照规定的课程替代关系将原课程替代为现行专业考试计划下的新课程。课程替代申请无需缴纳费用，申请提交成功后可即时在考籍中查询结果。 
在管理系统中申请课程替代时，若符合计划调整政策但无操作选项的，请通过报名准考证注册地招生考试机构或院校自考办进行咨询。 
1.免试类型 
（1）自考生免试：指将我省某一在籍自考准考证号内的课程合格成绩转移至另一在籍自考准考证号中。免试成功后，原自考准考证号内将不再保留该课程合格成绩。 
（2）自考毕业生免试：指用我省2005年6月30日以后自考毕业的课程合格成绩免试。 
（3）非学历证书免试：指用按我省高等教育自学考试规定的有关教育部颁发或认可的证书（附件3）免试。且证书必须能够在教育部考试中心综合查询网（http://chaxun.neea.edu.cn/examcenter/main.jsp）上查实。 
（4）其他学历证书免试：指用国家承认的国民教育系列的毕业证书或全日制普通高等学校的本、专科肄业（结业）证书免试，且证书必须能够在中国高等教育学生信息网（http://www.chsi.com.cn）上查实。 
（5）外省自考生免试：指已在2016年以前成功办理外省考籍（纸质档案）转入我省的考生，按我省高等教育自学考试规定办理的免试。 
课程免试依据《四川省高等教育自学考试考籍工作细则》（2006版）相关要求执行。凡提供假证或虚假相关认证材料的考生，按《国家教育考试违规处理办法》（教育部第33号令）进行处理。 
2.课程免试需提交的电子材料 
（1）自考生免试和自考毕业生免试 
仅线上申请，无需提交材料。 
（2）非学历证书免试 
《四川省高等教育自学考试课程免考申请表》（附件4）、有效居民身份证、非学历证书原件。 
（3）其他学历证书免试 
《四川省高等教育自学考试课程免考申请表》（附件4）、有效居民身份证、国家承认学历的国民教育系列的毕业证书（或全日制普通高等学校肄业证书、结业证书）原件、毕业生学籍档案（成绩单）并加盖教务处鲜章。 
（4） 外省自考生免试 
《四川省高等教育自学考试课程免考申请表》（附件4）、有效居民身份证、转考介绍信原件。 
四、其它事项 
（一）考生在管理系统中的相关操作说明详见附件5。 
（二）考生可自行下载、打印相关附表进行填写，要求书写规范工整，内容无缺漏，提交的电子材料须清晰完整，提供的联系电话务必保持畅通。 
附件: 
1.四川省高等教育自学考试更改考籍申请表【下载】 
2.四川省高等教育自学考试（面向院校）更改专业编码申请表【下载】 
3.教育部颁发非学历证书免考高等教育自学考试相关课程一览表【下载】 
4.四川省高等教育自学考试课程免试申请表【下载】 
5.高等教育自学考试管理信息系统考生端操作说明【下载】 
                               四川省教育考试院 
                                2020年2月20日 
"
自考问答（一）.txt,"[{'评卷': 1.0}, {'考生': 0.3537224138535535}, {'工作': 0.31013715577505657}, {'教师': 0.2622882348388067}, {'进行': 0.2134281488160518}]","问：四川省高等教育自学考试采用何种评卷方式？
答：四川省高等教育自学考试全部实行网上评卷。网上评卷是以信息技术为依托，将多年来人工评卷积累的丰富经验与现代高新技术相结合的一种先进、科学的评卷方式。网上评卷利用计算机系统和专用扫描仪将考生答题卡进行电子化，扫描过程中，考生选择题作答信息由扫描评卷系统按照标准答案自动评阅判分；考生非选择题作答信息由系统自动形成每个考生的答题电子图片，由承担了评卷任务的主考院校评卷教师对考生的答题电子图片进行评判给分。非选择题采用分题评卷，试题由电脑随机发送，一位老师只负责某一题或几题的评阅，计算机系统自动检测评卷进度，避免漏评情况的发生。考生成绩由计算机系统自动汇总形成。
问：网上评卷如何组织实施？
答：为切实加强我省高等教育自学考试网上评卷工作统筹管理，确保评卷质量，四川省教育考试院成立了四川省高等教育自学考试网上评卷工作领导小组。领导小组下设答题卡扫描工作站和非选择题评卷工作指导协调组。承担非选择题评卷工作的主考学校成立相应评卷工作领导小组，负责统筹管理校内评卷工作。评卷教师由各评卷学校选聘，原则上为高校在编在岗教师，熟悉本学科教学、考试内容要求，政治思想好，组织纪律性强，工作认真，具备计算机操作基本技能，保守秘密，作风正派，身体健康，能胜任评卷工作，年龄一般不超过55周岁。
评卷分为试评和正评。正式评卷前，评卷教师要对答卷进行试评，评卷教师先抽取规定数量的样卷，结合参考答案和考生答题情况，对每门课程答卷的题目逐一试评，参考试评情况制定更为细化的给分标准，以使在实际评阅中宽严适度，给分合理。试评之后进行正评。评卷教师严格按照试评确定的给分标准进行阅卷评分，切实做到给分有理，扣分有据。评卷过程中各题组组长随时参照“个人复评评卷结果及个人复评误差数”和“一致性校验数及一致性样本误差数”两项指标对本题组评卷教师所评试卷进行复查，不符合要求的予以重评。
实施网上评卷方式后，取消了人工登分、统分的环节，评卷工作结束后，系统自动汇总生成每位考生各科目成绩，实现成绩汇总零失误。考生答题图片在扫描过程中进行了加密处理，评卷过程中，评卷教师只能看到部分题组的电子图片，无法了解被评作答电子图片是谁的。采用网上评卷方式，保证了评卷工作的规范、科学、高效、公平、准确。
问：考生如果对分数有疑问，可否申请查分？
答：考生若对分数有疑问，可于规定时间内持本人准考证和身份证，社会考生到本次考试地县（市、区）考试机构、应用型专业考生到注册高校自考办提交查分申请，在规定时间内及时查看查分结果。
"
